id,type,namespace,title,comment,parsedcomment,timestamp,user,bot,minor,patrolled,server_name,wiki,length_old,length_new,revision_old,revision_new
2034113073.0,edit,1,Talk:Gun show loophole,/* Lead changes */ +cmt,"<span class=""autocomment""><a href=""/wiki/Talk:Gun_show_loophole#Lead_changes"" title=""Talk:Gun show loophole"">→<bdi dir=""ltr"">Lead changes</bdi></a>: </span> +cmt",1780595728,North8000,False,False,,en.wikipedia.org,enwiki,48636.0,49179.0,1357325365.0,1357787564.0
2034113074.0,edit,10,Template:Atlanta Braves roster navbox,/* */,"<span class=""autocomment""><a href=""/wiki/Template:Atlanta_Braves_roster_navbox"" title=""Template:Atlanta Braves roster navbox"">→<bdi dir=""ltr"">(top)</bdi></a></span>",1780595729,BullDawg2021,False,False,,en.wikipedia.org,enwiki,3125.0,3176.0,1357443299.0,1357787567.0
2034113075.0,edit,0,Abdul Motaleb Sazzad Mahmud,updated image,updated image,1780595730,Saakibrahman,False,False,,en.wikipedia.org,enwiki,3434.0,3412.0,1352513847.0,1357787570.0
2034113077.0,edit,118,Draft:Cobb-Burney House,Submitting using [[WP:AFCSW|AfC-submit-wizard]],"Submitting using <a href=""/wiki/Wikipedia:AFCSW"" class=""mw-redirect"" title=""Wikipedia:AFCSW"">AfC-submit-wizard</a>",1780595730,Ander29a,False,False,,en.wikipedia.org,enwiki,3619.0,3788.0,1357787260.0,1357787571.0
2034113076.0,edit,0,Cryptanalysis,/* Attacking cryptographic hash systems */ Add length extension attacks,"<span class=""autocomment""><a href=""/wiki/Cryptanalysis#Attacking_cryptographic_hash_systems"" title=""Cryptanalysis"">→<bdi dir=""ltr"">Attacking cryptographic hash systems</bdi></a>: </span> Add length extension attacks",1780595728,Seller of unexistent friends,False,False,,en.wikipedia.org,enwiki,45716.0,45746.0,1355280420.0,1357787565.0
2034113080.0,categorize,14,"Category:Scientists from Los Alamos, New Mexico","[[:Nicholas Metropolis]] added to category, [[Special:WhatLinksHere/Nicholas Metropolis|this page is included within other pages]]","<a href=""/wiki/Nicholas_Metropolis"" title=""Nicholas Metropolis"">Nicholas Metropolis</a> added to category, <a href=""/wiki/Special:WhatLinksHere/Nicholas_Metropolis"" title=""Special:WhatLinksHere/Nicholas Metropolis"">this page is included within other pages</a>",1780595728,Gjb0zWxOb,False,,,en.wikipedia.org,enwiki,,,,
2034113078.0,edit,0,Westmeath county football team,,,1780595730,Westemgr,False,False,,en.wikipedia.org,enwiki,35344.0,35397.0,1356622811.0,1357787569.0
2034113079.0,edit,0,Pancasila (politics),Removed extra bracket,Removed extra bracket,1780595730,Mnmzzz9711,False,True,,en.wikipedia.org,enwiki,33787.0,33786.0,1357711408.0,1357787568.0
2034113081.0,new,119,Draft talk:Cobb-Burney House,Adding WikiProject tags using [[WP:AFCSW|AfC-submit-wizard]],"Adding WikiProject tags using <a href=""/wiki/Wikipedia:AFCSW"" class=""mw-redirect"" title=""Wikipedia:AFCSW"">AfC-submit-wizard</a>",1780595731,Ander29a,False,False,False,en.wikipedia.org,enwiki,,81.0,,1357787572.0
2034113082.0,categorize,14,Category:WikiProject banners without banner shells,[[:Draft talk:Cobb-Burney House]] added to category,"<a href=""/wiki/Draft_talk:Cobb-Burney_House"" title=""Draft talk:Cobb-Burney House"">Draft talk:Cobb-Burney House</a> added to category",1780595731,Ander29a,False,,,en.wikipedia.org,enwiki,,,,
